Sample,Time,Group,Temperature,Phase
P01,Day7,Control,Minus_1,Log
P02,Day7,Control,Minus_1,Log
P03,Day7,Control,Minus_1,Log
P04,Day7,WCL,Minus_1,Log
P05,Day7,WCL,Minus_1,Log
P06,Day7,WCL,Minus_1,Log
P07,Day9,Control,Minus_1,Stationary
P08,Day9,Control,Minus_1,Stationary
P09,Day9,Control,Minus_1,Stationary
P10,Day9,WCL,Minus_1,Stationary
P11,Day9,WCL,Minus_1,Stationary
P12,Day9,WCL,Minus_1,Stationary
P13,Day11,Control,Minus_1,Stationary
P14,Day11,Control,Minus_1,Stationary
P15,Day11,Control,Minus_1,Stationary
P16,Day11,WCL,Minus_1,Stationary
P17,Day11,WCL,Minus_1,Stationary
P18,Day11,WCL,Minus_1,Stationary
P19,Day5,Control,Minus_5,Log
P20,Day5,Control,Minus_5,Log
P21,Day5,Control,Minus_5,Log
P22,Day5,WCL,Minus_5,Log
P23,Day5,WCL,Minus_5,Log
P24,Day5,WCL,Minus_5,Log
P25,Day9,Control,Minus_5,Stationary
P26,Day9,Control,Minus_5,Stationary
P27,Day9,Control,Minus_5,Stationary
P28,Day9,WCL,Minus_5,Stationary
P29,Day9,WCL,Minus_5,Stationary
P30,Day9,WCL,Minus_5,Stationary
P31,Day11,Control,Minus_5,Stationary
P32,Day11,Control,Minus_5,Stationary
P33,Day11,Control,Minus_5,Stationary
P34,Day11,WCL,Minus_5,Stationary
P35,Day11,WCL,Minus_5,Stationary
P36,Day11,WCL,Minus_5,Stationary
P37,Day13,Control,Minus_5,Stationary
P38,Day13,Control,Minus_5,Stationary
P39,Day13,Control,Minus_5,Stationary
P40,Day13,WCL,Minus_5,Stationary
P41,Day13,WCL,Minus_5,Stationary
P42,Day13,WCL,Minus_5,Stationary
P43,T0,Initial,Minus_1,Lag
P44,T0,Initial,Minus_1,Lag
P45,T0,Initial,Minus_1,Lag
